,loss,mae,val_loss,val_mae,learning_rate
0,1.0660874843597412,0.25779715180397034,0.42358991503715515,0.19629034399986267,9.999999747378752e-05
1,0.1834949105978012,0.12720522284507751,0.2843778133392334,0.1593710035085678,9.999999747378752e-05
2,0.13079361617565155,0.10750246047973633,0.30185770988464355,0.16770394146442413,9.999999747378752e-05
3,0.10633682459592819,0.0965195894241333,0.24551557004451752,0.15221759676933289,9.999999747378752e-05
4,0.08979968726634979,0.08849148452281952,0.12926195561885834,0.10890766233205795,9.999999747378752e-05
5,0.0778261050581932,0.0819922387599945,0.06437619775533676,0.07153401523828506,9.999999747378752e-05
6,0.0685490146279335,0.07686134427785873,0.04401632398366928,0.055939365178346634,9.999999747378752e-05
7,0.0622883141040802,0.07281695306301117,0.0439714677631855,0.05671801045536995,9.999999747378752e-05
8,0.05714112147688866,0.06952132284641266,0.036257121711969376,0.05065210908651352,9.999999747378752e-05
9,0.053040511906147,0.0669078528881073,0.04083150997757912,0.05597413331270218,9.999999747378752e-05
10,0.04868282750248909,0.0641137957572937,0.03447272628545761,0.04869883134961128,9.999999747378752e-05
11,0.04672568291425705,0.06243272125720978,0.03090115636587143,0.046673212200403214,9.999999747378752e-05
12,0.043494291603565216,0.06029951199889183,0.02854931354522705,0.04329957067966461,9.999999747378752e-05
13,0.041084736585617065,0.05860520154237747,0.029704391956329346,0.04346216842532158,9.999999747378752e-05
14,0.03898771107196808,0.056737784296274185,0.03836482763290405,0.04795185476541519,9.999999747378752e-05
15,0.03744034469127655,0.05555431917309761,0.02575065568089485,0.041188083589076996,9.999999747378752e-05
16,0.03538888692855835,0.05396975949406624,0.025001931935548782,0.04051345959305763,9.999999747378752e-05
17,0.03438499569892883,0.05304998904466629,0.025378240272402763,0.040564849972724915,9.999999747378752e-05
18,0.0331159345805645,0.051925159990787506,0.022904420271515846,0.038152966648340225,9.999999747378752e-05
19,0.03170989453792572,0.05089367553591728,0.028104480355978012,0.04081685468554497,9.999999747378752e-05
20,0.030452275648713112,0.049770746380090714,0.02093476615846157,0.03532768413424492,9.999999747378752e-05
21,0.029438471421599388,0.04882330447435379,0.027154533192515373,0.03812510147690773,9.999999747378752e-05
22,0.02889486961066723,0.048199109733104706,0.02520296722650528,0.037995677441358566,9.999999747378752e-05
23,0.027711473405361176,0.04713642597198486,0.018570123240351677,0.0329926572740078,9.999999747378752e-05
24,0.02689855732023716,0.04619628190994263,0.02048545889556408,0.03389458730816841,9.999999747378752e-05
25,0.02622956782579422,0.04554244875907898,0.02320433221757412,0.037495311349630356,9.999999747378752e-05
26,0.024982253089547157,0.04464220255613327,0.02237706631422043,0.035931218415498734,9.999999747378752e-05
27,0.023380432277917862,0.04325207695364952,0.01712704636156559,0.032500866800546646,4.999999873689376e-05
28,0.022697195410728455,0.042681414633989334,0.0169161818921566,0.03114173375070095,4.999999873689376e-05
29,0.022411540150642395,0.04228905960917473,0.016864920035004616,0.03155658394098282,4.999999873689376e-05
30,0.0219938512891531,0.04194006323814392,0.017142459750175476,0.03134678676724434,4.999999873689376e-05
31,0.02169850654900074,0.041623104363679886,0.01620015688240528,0.030566906556487083,4.999999873689376e-05
32,0.02139499969780445,0.04116594418883324,0.019012754783034325,0.032813627272844315,4.999999873689376e-05
33,0.02080005593597889,0.04068715497851372,0.01865282468497753,0.03338814154267311,4.999999873689376e-05
34,0.02049495093524456,0.040545426309108734,0.016010694205760956,0.029847750440239906,4.999999873689376e-05
35,0.020177587866783142,0.04007595032453537,0.01556603517383337,0.029415205121040344,4.999999873689376e-05
36,0.020199060440063477,0.0398893728852272,0.015729421749711037,0.02961314097046852,4.999999873689376e-05
37,0.019665731117129326,0.03942830488085747,0.01580476202070713,0.0300605446100235,4.999999873689376e-05
38,0.019373076036572456,0.03907473012804985,0.014820360578596592,0.028558749705553055,4.999999873689376e-05
39,0.0191949475556612,0.038933202624320984,0.016147052869200706,0.029129141941666603,4.999999873689376e-05
40,0.018641861155629158,0.0383361391723156,0.01512683555483818,0.029854783788323402,4.999999873689376e-05
41,0.018353255465626717,0.03799065575003624,0.02071393094956875,0.03126373887062073,4.999999873689376e-05
42,0.017249641939997673,0.03715236112475395,0.013794275000691414,0.027199726551771164,2.499999936844688e-05
43,0.016916820779442787,0.0366610586643219,0.014267543330788612,0.02742958627641201,2.499999936844688e-05
44,0.016686970368027687,0.03652798384428024,0.014361116103827953,0.02747473306953907,2.499999936844688e-05
45,0.016667433083057404,0.036410171538591385,0.014575501903891563,0.027403419837355614,2.499999936844688e-05
46,0.016016153618693352,0.03601188212633133,0.01459403894841671,0.02726534754037857,1.249999968422344e-05
47,0.015950769186019897,0.03583656623959541,0.013903001323342323,0.02685127779841423,1.249999968422344e-05
48,0.01583862118422985,0.03577740490436554,0.013357873074710369,0.026648370549082756,1.249999968422344e-05
49,0.015494978986680508,0.03543388098478317,0.013452759012579918,0.027025099843740463,1.249999968422344e-05
